,,Számlázási adatok,,,,,,,,,,,,,,,,,,,,,,,,,net_weight,NUMERIC,,,,,,,,,department_id,,,,barcode,
,,entity,STRING,hazai / magánszemély / egyéb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,team_id,,,,,
,,registry_number,STRING,cégjegyzékszám,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,local_tax_number,STRING,adószám,,,,,,,,,,,,,,,,,,,,,,,Cikktörzset számlázás spec -  leító paraméterei,,,,,unified_net_total,NUMERIC,,,,Actions,,,,,
,,eu_tax_number,STRING,eu adószám,,,,,,,,,,,,,,,,,,,,,,,kf_code,JSON,,,,unified_unit_price,NUMERIC,,,,id,,,,notes,
,,target_currency,STRING,amilyen currency-ben szeretnéd a számlát kiállítani a partner számára,,,,,,,,,,,,,,,,,,,,,,,csk_code,JSON,csomagolás kód,,,place_id,UUID,,,,,,,,type,
,,target_exchange_rate,NUMERIC,"statikus érték, ahol az aktuális árfolyamot írjuk be a saját currency és partner target currency között
saját currency: amiben a készletek értékét vezetni akarjuk ",,,,,,,,,,,,,,,,,,,,,,,kt_code,JSON,,,,,,,,,,,,,manager_id,
,,days_until_payment_due,NUMERIC,számlázáasi adat: ehhez a partnerhez teljesítéstől számított fizetési határidő,,,,,,,,,,,,,,,,,,,,,,,rev_account_number,STRING,bevételi főkönyvi szám,,,,,,,,,,,,department_id,
,,billing_email,STRING,ha különbözik a sima email-tól: pl: finance@....,,,,,,,,,,,,,,,,,,,,,,,cost_account_number,STRING,kiadási főkönyvi szám,,,locked,BOOLEAN,,,,,,,,team_id,
,,billing_phone,STRING,ha különbözik a sima phone-tól,,,,,,,,,,,,,,,,,,,,,,,customs_tariff_number,STRING,,,,details,JSON,,,,,,,,,
,,separate_billing_address,BOOLEAN,ha különbözik az elsődleges cím adatoktól = TRUE,,,,,,,,,,,,,,,,,,,,,,,billing_scheme,STRING,,,,notes,STRING,,,,,,,,,
,,billing_country_code,STRING,számlázás ország (cím része),,,,,,,,,,,,,,,,,,,,,,,adr_info,JSON,,,,active,BOOLEAN,,,,,,,,,
,,billing_postal_code,STRING,számlázás  zíp (cím része),,,,,,,,,,,,,,,,,,,,,,,hazard_statements,TEXT[],,,,role,STRING,,,,,,,,,
,,billing_city,STRING,számlázás  város (cím része),,,,,,,,,,,,,,,,,,,,,,,precautionary_statements,TEXT[],,,,,,,,,,,,,,
,,billing_additional_address_detail,STRING,számlázás  utca házsz. (cím része),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Cikktörzset számlázás spec -  leító paraméterei,,,,,contact_id,UUID,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,minimum_order_quantity,NUMERIC,,,,,,,,,,,,,,
,,"generált dokumentumok beállításai partnerenként (számla, ajánlat, szállítólevél, etc..)",,,,,,,,,,,,,,,,,,,,,,,,,minimum_in_stock_quantity,NUMERIC,,,,warranty_date,DATE,,,,,,,,,
,,quote_duration,NUMERIC,ennek a partnernek egy kiadott ajánlat meddig érvényes (a generálás időpontjától?),,,,,,,,,,,,,,,,,,,,,,,maximum_in_stock_quantity,NUMERIC,,,,last_maintenance_date,DATE,,,,,,,,,
,,pay_method,STRING,számlázási adat - utalás vagy kp számlát kap?,,,,,,,,,,,,,,,,,,,,,,,,,,,,maintenance_schedule_days,NUMERIC,,,,,,,,,
,,language,STRING,milyen nyelven kapja a dokumentumokat,,,,,,,,,,,,,,,,,,,,,,,,,,,,acquisition_date,DATE,,,,,,,,,
,,show_imperial_units,BOOLEAN,számlán milyen mértékegységek szerepeljenek,,,,,,,,,,,,,,,,,,,,,,,,,,,,origin_partner_id,UUID,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lifespan_years,NUMERIC,,,,,,,,,
,,Szállítási adatok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,residual_value_percentage,NUMERIC,,,,,,,,,
,,delivery_terms,STRING,select-ből kell majd választani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,delivery_notes,STRING,sablon szerű szabad szöveges utasítás szállítmányozáshoz - szállítólevlére ,,,,,,,,,,,,,,,,,,,,,,,,,,,,local_id,STRING,,,,,,,,,
,,separate_shipping_address,BOOLEAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,shipping_country_code,STRING,szállítás ország (cím része),,,,,,,,,,,,,,,,,,,,,,,,,,,,global_user_id,UUID,,,,,,,,,
,,shipping_postal_code,STRING,szállítás  zíp (cím része),,,,,,,,,,,,,,,,,,,,,,,,,,,,place_group_id,UUID,,,,,,,,,
,,shipping_city,STRING,szállítás  város (cím része),,,,,,,,,,,,,,,,,,,,,,,,,,,,access_policies,JSON,,,,,,,,,
,,shipping_additional_address_detail,STRING,szállítás  utca házsz. (cím része),,,,,,,,,,,,,,,,,,,,,,,,,,,,src,JSON,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ws_id,UUID,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,manager_id,UUID,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,department_id,UUID,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,team_id,UUID,,,,,,,,,
